Date,Adj Close,Close,High,Low,Open,Volume
2000-05-19,89.94886779785156,140.6875,142.65625,140.25,142.65625,775500
2000-05-22,89.38941955566406,139.8125,140.59375,136.8125,140.59375,1850600
2000-05-23,88.0307846069336,137.6875,140.21875,137.6875,140.21875,373900
2000-05-24,89.34949493408203,139.75,140.0625,136.65625,137.75,400300
2000-05-25,88.53030395507812,138.46875,140.9375,137.875,140.03125,69600
2000-05-26,88.13067626953125,137.84375,138.75,137.0,138.484375,237000
2000-05-30,91.02775573730469,142.375,142.4375,139.28125,139.28125,118100
2000-05-31,91.28751373291016,142.78125,143.625,141.875,141.875,216900
2000-06-01,92.74604797363281,145.0625,145.0625,143.625,143.90625,128700
2000-06-02,94.58413696289062,147.9375,148.78125,147.46875,148.3125,108400
2000-06-05,93.96478271484375,146.96875,147.65625,146.6875,147.0,192100
2000-06-06,93.48526763916016,146.21875,147.1875,145.6875,146.4375,209300
2000-06-07,94.1046371459961,147.1875,147.5,145.65625,146.21875,85400
2000-06-08,93.76496887207031,146.65625,147.8125,145.9375,147.8125,248400
2000-06-09,93.42533874511719,146.125,147.515625,145.875,147.515625,20200
2000-06-12,92.61615753173828,144.859375,146.625,144.859375,146.625,17600
2000-06-13,93.82489013671875,146.75,147.25,144.5,145.0,40300
2000-06-14,94.40436553955078,147.65625,148.375,147.125,147.75,353900
2000-06-15,94.40436553955078,147.65625,148.25,146.609375,147.6875,338500
2000-06-16,94.02473449707031,147.0625,148.625,146.46875,148.625,855900
2000-06-19,94.95380401611328,148.515625,149.03125,146.5,146.5625,160000
2000-06-20,94.434326171875,147.703125,148.640625,147.296875,148.625,182600
2000-06-21,94.61041259765625,147.859375,148.15625,146.875,146.875,137500
2000-06-22,93.06073760986328,145.4375,147.4375,145.0,147.4375,182900
2000-06-23,92.39089965820312,144.390625,145.875,144.0,145.5,238200
2000-06-26,93.46068572998047,146.0625,146.0625,144.8125,145.03125,26000
2000-06-27,92.94078063964844,145.25,146.296875,145.25,145.8125,40900
2000-06-28,93.37066650390625,145.921875,146.90625,145.3125,145.3125,51200
2000-06-29,92.24095153808594,144.15625,145.25,143.5625,144.640625,48500
2000-06-30,93.0907211303711,145.484375,145.484375,143.984375,143.984375,16800
2000-07-03,94.1505126953125,147.140625,147.140625,145.46875,145.5,7100
2000-07-05,92.8407974243164,145.09375,146.359375,144.625,146.265625,27400
2000-07-06,93.30072784423828,145.8125,146.125,144.21875,144.875,40100
2000-07-07,94.68041229248047,147.96875,148.5,146.375,146.375,65500
2000-07-10,94.52045440673828,147.71875,148.65625,147.65625,147.65625,77500
2000-07-11,94.88037109375,148.28125,149.0,147.25,147.25,40700
2000-07-12,95.40032196044922,149.09375,149.9375,148.875,149.25,2642100
2000-07-13,95.72016906738281,149.59375,150.28125,149.140625,149.71875,971600
2000-07-14,96.6100082397461,150.984375,151.125,149.8125,150.25,158800
2000-07-17,96.55001831054688,150.890625,151.90625,150.59375,150.734375,430100
2000-07-18,95.86015319824219,149.8125,150.5,149.375,150.46875,763600
2000-07-19,94.96034240722656,148.40625,149.578125,148.40625,149.34375,120000
2000-07-20,96.25004577636719,150.421875,150.421875,148.765625,148.875,96500
2000-07-21,94.52045440673828,147.71875,149.4375,147.71875,149.40625,601300
2000-07-24,93.80058288574219,146.59375,148.59375,146.59375,148.25,251700
2000-07-25,94.33048248291016,147.421875,147.515625,146.8125,147.46875,116700
2000-07-26,93.42069244384766,146.0,146.890625,145.75,146.875,474800
2000-07-27,93.03076934814453,145.390625,146.5625,144.875,145.71875,94200
2000-07-28,91.00119018554688,142.21875,145.5,141.5,145.5,1147800
2000-07-31,91.46106719970703,142.9375,143.953125,142.40625,142.9375,332900
2000-08-01,92.180908203125,144.0625,144.390625,143.28125,143.28125,481700
2000-08-02,92.37089538574219,144.359375,145.328125,144.09375,144.65625,505900
2000-08-03,93.02073669433594,145.375,145.65625,142.9375,142.9375,173500
2000-08-04,93.58065795898438,146.25,146.421875,145.46875,146.03125,132900
2000-08-07,94.89037322998047,148.296875,148.296875,146.46875,146.640625,6500
2000-08-08,95.07032775878906,148.578125,148.6875,147.6875,147.84375,175400
2000-08-09,94.58048248291016,147.8125,149.09375,147.8125,149.09375,123100
2000-08-10,93.69059753417969,146.421875,147.609375,146.34375,147.53125,118000
2000-08-11,94.26050567626953,147.3125,147.578125,146.09375,146.53125,129400
2000-08-14,95.61026763916016,149.421875,149.421875,147.40625,147.5,70100
2000-08-15,95.3602294921875,149.03125,149.53125,148.609375,149.125,343600
2000-08-16,94.7004623413086,148.0,149.734375,147.953125,149.28125,155000
2000-08-17,95.93013000488281,149.921875,150.28125,148.5,148.53125,96900
2000-08-18,95.74018859863281,149.625,150.21875,149.3125,150.125,269000
2000-08-21,95.62023162841797,149.4375,150.515625,149.4375,150.15625,43000
2000-08-22,96.26009368896484,150.4375,151.09375,150.125,150.40625,380100
2000-08-23,96.51000213623047,150.828125,150.984375,149.34375,149.875,239100
2000-08-24,96.66998291015625,151.078125,151.421875,150.671875,150.71875,53100
2000-08-25,96.72000885009766,151.15625,151.578125,151.0,151.296875,136000
2000-08-28,97.11990356445312,151.78125,152.734375,151.09375,151.09375,354000
2000-08-29,97.04991912841797,151.671875,151.75,151.25,151.4375,66900
2000-08-30,96.24005889892578,150.40625,151.125,150.40625,151.125,260100
2000-08-31,97.42985534667969,152.265625,153.046875,150.875,151.0,843400
2000-09-01,97.4498519897461,152.296875,153.46875,152.1875,153.03125,278000
2000-09-05,96.84996032714844,151.359375,152.03125,150.875,151.78125,140700
2000-09-06,95.89017486572266,149.859375,151.46875,149.859375,151.28125,153200
2000-09-07,96.58000183105469,150.9375,150.9375,149.875,150.234375,84000
2000-09-08,95.9201431274414,149.90625,150.125,149.453125,150.125,62600
2000-09-11,95.6801986694336,149.53125,151.046875,149.0,149.625,93300
2000-09-12,95.02034759521484,148.5,149.875,148.5,149.6875,109000
2000-09-13,95.22029113769531,148.8125,148.953125,147.84375,147.84375,197900
2000-09-14,94.98033905029297,148.4375,149.8125,148.328125,149.75,99900
2000-09-15,93.84059143066406,146.65625,148.34375,146.4375,148.34375,298900
2000-09-18,92.78079986572266,145.0,147.1875,144.96875,146.75,144700
2000-09-19,93.64060974121094,146.34375,146.578125,145.171875,145.625,128300
2000-09-20,92.94674682617188,144.984375,145.921875,143.4375,145.875,127700
2000-09-21,92.85655212402344,144.84375,145.125,144.125,145.125,284200
2000-09-22,93.11703491210938,145.25,145.25,142.25,142.25,124600
2000-09-25,92.27560424804688,143.9375,145.828125,143.921875,145.78125,49300
